Date,Name,Year,Letterboxd URI,Rating
2015-06-15,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,5
2015-06-15,Whiplash,2014,https://boxd.it/7bQA,5
2015-07-09,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2015-09-07,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,4.5
2016-05-23,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2016-06-09,Zodiac,2007,https://boxd.it/27MO,4.5
2016-09-16,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2016-09-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2017-10-08,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2023-12-02,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2023-12-02,Spider-Man 2,2004,https://boxd.it/2a88,5
2023-12-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2023-12-02,The Social Network,2010,https://boxd.it/17ue,5
2023-12-02,Oppenheimer,2023,https://boxd.it/wUow,5
2023-12-02,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2023-12-02,Past Lives,2023,https://boxd.it/oNB8,4.5
2023-12-02,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,4.5
2023-12-02,Barbie,2023,https://boxd.it/bCLK,4.5
2023-12-02,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-12-02,Aftersun,2022,https://boxd.it/Arw0,4.5
2023-12-02,The Batman,2022,https://boxd.it/eDGs,4.5
2023-12-02,Babylon,2022,https://boxd.it/mM02,4
2023-12-02,The Big Lebowski,1998,https://boxd.it/2b6C,4.5
2023-12-22,The Martian,2015,https://boxd.it/8SeG,4.5
2024-01-01,The Holdovers,2023,https://boxd.it/vHza,4.5
2024-01-16,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2024-03-06,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-09-12,Rebel Ridge,2024,https://boxd.it/nZum,4.5
2025-09-27,One Battle After Another,2025,https://boxd.it/DUHM,5
